"user","time"
"39225","1499278074"
"39225","1499278090"
"39318","1499278213"
"38838","1499278216"
"38838","1499278235"
"39318","1499278309"
"39432","1499278378"
"39425","1499278482"
"39429","1499278682"
"38684","1499278712"
"39190","1499278777"
"39190","1499278787"
"39190","1499278792"
"39421","1499278808"
"39190","1499278816"
"534","1499278822"
"39190","1499278834"
"39190","1499278843"
"39158","1499278947"
"39158","1499279009"
"39036","1499279011"
"38853","1499279540"
"38853","1499279959"
"38510","1499280740"
"38578","1499281128"
"39318","1499281261"
"39333","1499281549"
"38578","1499281554"
"39318","1499281811"
"39427","1499282199"
"39111","1499282388"
"38578","1499283058"
"38578","1499283086"
"39318","1499283093"
"38993","1499283572"
"38993","1499283621"
"39318","1499283630"
"39350","1499283704"
"39350","1499283731"
"38578","1499283734"
"560","1499283757"
"38999","1499283886"
"38695","1499284382"
"39113","1499284582"
"38999","1499284653"
"39095","1499284984"
"39333","1499285133"
"39150","1499285201"
"39006","1499285204"
"39333","1499285340"
"39390","1499285373"
"39333","1499285484"
"39318","1499285901"
"39123","1499286155"
"38765","1499286257"
"39395","1499286259"
"39333","1499286419"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39306","1499286751"
"39333","1499286851"
"39318","1499287004"
"534","1499287059"
"39318","1499287120"
"39318","1499287236"
"39318","1499287238"
"39318","1499287327"
"39306","1499287425"
"39419","1499287663"
"39318","1499287701"
"39318","1499287806"
"39014","1499288025"
"39340","1499288072"
"39318","1499288106"
"39318","1499288185"
"39340","1499288420"
"39428","1499288439"
"39340","1499288464"
"39318","1499288473"
"39318","1499288622"
"39318","1499288709"
"39158","1499288754"
"39318","1499289089"
"522","1499289198"
"972","1499289283"
"522","1499289293"
"534","1499289312"
"39009","1499289327"
"522","1499289349"
"522","1499289394"
"39009","1499289498"
"39184","1499289689"
"38578","1499290318"
"38578","1499290356"
"38578","1499290466"
"39389","1499290712"
"39009","1499291296"
"39002","1499292116"
"39064","1499293369"
"38769","1499298173"
"1107","1499300714"
"522","1499300800"
"553","1499305510"
"39158","1499311953"
"39138","1499335280"
"39138","1499335281"
"1129","1499335285"
"1107","1499338829"
"38762","1499341494"
"39005","1499343261"
"38999","1499343314"
"38999","1499343367"
"39036","1499343755"
"39036","1499343816"
"39174","1499343845"
"39174","1499343849"
"39036","1499343862"
"39149","1499344148"
"39008","1499344689"
"38999","1499346205"
"39379","1499346271"
"39450","1499346472"
"39450","1499346659"
"39123","1499346743"
"39123","1499346777"
"39318","1499346958"
"38714","1499347461"
"534","1499347551"
"38887","1499347654"
"39333","1499348072"
"39382","1499348214"
"38785","1499348654"
"38853","1499348945"
"38998","1499349065"
"38998","1499349099"
"38510","1499349459"
"969","1499350276"
"534","1499350318"
"39003","1499351507"
"39038","1499351947"
"39340","1499352069"
"39340","1499352090"
"764","1499352893"
"764","1499353164"
"39412","1499353435"
"39440","1499353560"
"39326","1499353709"
"39326","1499353775"
"39422","1499354086"
"39422","1499354114"
"39003","1499354187"
"39003","1499354199"
"39318","1499354646"
"38693","1499355846"
"39455","1499355981"
"39455","1499356058"
"39455","1499356132"
"38739","1499356177"
"39380","1499358076"
"39430","1499358227"
"39380","1499358586"
"38988","1499358983"
"38769","1499359536"
"38655","1499359691"
"39124","1499360784"
"39318","1499360928"
"39161","1499361536"
"39318","1499361658"
"38891","1499361687"
"39158","1499361692"
"38853","1499361885"
"39124","1499362546"
"39008","1499362823"
"38701","1499363384"
"1098","1499363518"
"39124","1499364109"
"39415","1499364302"
"39175","1499364412"
"38702","1499364615"
"39268","1499364718"
"39526","1499364739"
"39175","1499364745"
"39175","1499364776"
"39526","1499364862"
"39064","1499364874"
"39526","1499364950"
"39318","1499365012"
"39318","1499365044"
"38701","1499365296"
"39175","1499365427"
"39431","1499366268"
"38703","1499366851"
"39373","1499367015"
"38689","1499367609"
"39154","1499367691"
"39010","1499367781"
"39154","1499367826"
"39318","1499367909"
"38707","1499367918"
"39427","1499368176"
"39154","1499368235"
"39183","1499368564"
"39183","1499368619"
"39318","1499368634"
"39183","1499368651"
"39318","1499368658"
"39318","1499368747"
"39183","1499368825"
"39197","1499369071"
"38695","1499369700"
"39105","1499369766"
"39147","1499369875"
"39231","1499369917"
"39390","1499370038"
"38878","1499370496"
"38999","1499370877"
"39318","1499370948"
"38999","1499370979"
"38853","1499371025"
"38655","1499371086"
"39318","1499371165"
"39121","1499371280"
"39133","1499371812"
"39318","1499371873"
"38920","1499372700"
"38731","1499373210"
"39248","1499373537"
"39248","1499373549"
"39318","1499373680"
"38720","1499373683"
"1098","1499374187"
"1098","1499374187"
"1098","1499374187"
"1098","1499374187"
"39133","1499374378"
"39318","1499374440"
"38695","1499374451"
"38984","1499374598"
"39318","1499374644"
"39318","1499374716"
"38995","1499374848"
"38995","1499374872"
"39318","1499374875"
"38995","1499374886"
"1098","1499374933"
"39318","1499374937"
"38995","1499374953"
"38995","1499374971"
"38995","1499375001"
"38995","1499375014"
"534","1499375050"
"39318","1499375085"
"39318","1499375112"
"39318","1499375151"
"39318","1499375170"
"39318","1499375189"
